Idol ID	Media Code	Title	Type	Released	Japanese Name	English Name	Age
1	HCM-002	ともだち宣言2号	dvd	2012-05-23	あべかなみ	Kanami Abe	11
2	EICCB-098	恋するさくらんぼ	dvd	2019-11-25	阿部百華	Momoka Abe	14
2	EICCB-100	100%キラキラ	dvd	2020-05-25	阿部百華	Momoka Abe	15
3	SCDV-10123	なぎさとデート	dvd	2004-09-10	安谷屋なぎさ	Nagisa Adaniya	13
3	9784778100353	Puppy Love	photoset	2004-09-10	安谷屋なぎさ	Nagisa Adaniya	13
4	mgdvd-011	ぴんぽんダッシュ	dvd	2015-01-24	安達音々	Nene Adachi	NULL
4	mgbr-011	ぴんぽんダッシュ	bd	2015-01-24	安達音々	Nene Adachi	NULL
5	IMOM-068	たっぷり 安達ゆき	dvd	2009-05-25	安達ゆき	Yuki Adachi	13
5	TASKJ-062	ときどき男の子	dvd	2009-08-20	安達ゆき	Yuki Adachi	14
5	IMOM-102	たっぷり安達ゆき Part2	dvd	2009-11-25	安達ゆき	Yuki Adachi	14
6	PAW-3026	asami 12	dvd	2003-12-18	阿川麻美	Mami Agawa	12
6	COMP-006	Movie 大全集 -THE COMPLETE （6）	dvd	2006-05-18	阿川麻美	Mami Agawa	NULL
7	SKIP-007	中学3年生14歳	dvd	2007-06-27	愛	Ai	14
7	SKIB-002	すきっぷ BEST SELECTION 小さなつぼみ編	dvd	2008-07-10	愛	Ai	NULL
8	APB-005	天使的美少女エピソード 5	dvd	2006-12-20	藍	Ai	9
8	APZ-001	藍にドキツ！	dvd	2006-12-20	藍	Ai	NULL
8	APG-002	Angel GIRLS Vol.2	dvd	2012-10-27	藍	Ai	NULL
8	APG-006	Angel GIRLS vol.6	dvd	2012-12-24	藍	Ai	15
8	APG-019	Angel GIRLS vol.19	dvd	2013-07-31	藍	Ai	NULL
8	APG-023	Angel GIRLS vol.23	dvd	2013-11-30	あい	Ai	NULL
9	KNGK-002	官能天使	dvd	2008-04-25	愛葉れな	Rena Aiba	12
9	GOD-006	発育	dvd	2009-01-09	愛葉レナ	Rena Aiba	NULL
9	GOD-013	リトルメモリー	dvd	2009-03-06	愛葉レナ	Rena Aiba	NULL
9	GOD-040	いちごきっす	dvd	2009-12-18	れな	Rena	NULL
10	CPD-001	Jr アート編	dvd	2005-12-15	愛田かんな	Kanna Aida	10
10	CPD-002	Jr ポップ編	dvd	2005-12-15	愛田かんな	Kanna Aida	10
10	TMOE-2	MOE JUNIOR IDOL Under15 Maid&Miko Vol.2	dvd	2006-03-18	愛田かんな	Kanna Aida	10
10	MMD-0003	Nature	dvd	2006-07-20	愛田かんな	Kanna Aida	11
